,rho,p,adjusted_p,class
Nfu_g_1_009106,-0.196116135138184,0.347450201330874,0.493124641596853,Not-significant
Nfu_g_1_009113,-0.0228670956229667,0.913602434321514,0.943383475973528,Not-significant
Nfu_g_1_009118,0.156892908110547,0.453881404562256,0.594011896282309,Not-significant
Nfu_g_1_009122,0.098058067569092,0.640989413882095,0.751496989315474,Not-significant
Nfu_g_1_009124,0.109825035677383,0.601254461564429,0.721374393321795,Not-significant
Nfu_g_1_009126,0.152970585407784,0.46538490775331,0.603964837745297,Not-significant
Nfu_g_1_009129,0.333397429734913,0.103391626829764,0.204249448100639,Not-significant
Nfu_g_1_009130,0.368698334059786,0.0697368623741285,0.152602293189028,Not-significant
Nfu_g_1_009132,0.086291099460801,0.681708334347298,0.78294198251517,Not-significant
Nfu_g_1_009138,0.258873298382403,0.211470151868833,0.342994692586206,Not-significant
Nfu_g_1_009140,-0.00784464540552736,0.970313113331037,0.97810639677483,Not-significant
Nfu_g_1_009145,0.215727748652002,0.300353651353564,0.443617824098106,Not-significant
Nfu_g_1_009148,0.19219381243542,0.357367764287643,0.502382161195517,Not-significant
Nfu_g_1_009157,-0.0509901951359279,0.808737084533853,0.874536829878194,Not-significant
Nfu_g_1_009160,0.258873298382403,0.211470151868833,0.342994692586206,Not-significant
Nfu_g_1_009161,-0.29809652541004,0.147807245164158,0.264532280830799,Not-significant
Nfu_g_1_009165,0.152970585407784,0.46538490775331,0.603964837745297,Not-significant
Nfu_g_1_009166,-0.105902712974619,0.614384247084078,0.730322480498578,Not-significant
Nfu_g_1_009175,-0.176504521624366,0.39867142321844,0.543269263497915,Not-significant
Nfu_g_1_009176,0.152970585407784,0.46538490775331,0.603964837745297,Not-significant
Nfu_g_1_009177,-0.0902134221635647,0.66803205233369,0.772604432391058,Not-significant
Nfu_g_1_009179,0.270640266490694,0.190703171205935,0.318588364365097,Not-significant
Nfu_g_1_009182,-0.098058067569092,0.640989413882094,0.751496989315474,Not-significant
Nfu_g_1_009184,0.113747358380147,0.588244349063804,0.710753439065027,Not-significant
Nfu_g_1_009186,-0.376542979465313,0.0635558154019294,0.142311632725865,Not-significant
Nfu_g_1_009189,0.0549125178386915,0.794321943739653,0.864986498866409,Not-significant
Nfu_g_1_009192,-0.11766968108291,0.57535714241077,0.700044921708527,Not-significant
Nfu_g_1_009193,0.19219381243542,0.357367764287643,0.502382161195517,Not-significant
Nfu_g_1_009195,-0.26284617328744,0.204295093417373,0.33462362033004,Not-significant
Nfu_g_1_009196,0.098058067569092,0.640989413882095,0.751496989315474,Not-significant
Nfu_g_1_009199,-0.227494716760293,0.27410488031915,0.415494555628248,Not-significant
Nfu_g_1_009200,-0.137281294596729,0.512870658369538,0.646220940111065,Not-significant
Nfu_g_1_009201,0.325552784329386,0.11227732095945,0.216413226538287,Not-significant
Nfu_g_1_009202,0.129436649191201,0.537463757474272,0.668207292207825,Not-significant
Nfu_g_1_009203,0.325552784329386,0.11227732095945,0.216413226538287,Not-significant
Nfu_g_1_009206,0.309863493518331,0.131712785634666,0.243507788470578,Not-significant
Nfu_g_1_009207,0.141203617299493,0.500782978173739,0.635675743002512,Not-significant
Nfu_g_1_009208,0.388309947573604,0.0550862545171207,0.128061011380364,Not-significant
Nfu_g_1_009210,0.0706018086497463,0.737357202676773,0.823855833281519,Not-significant
Nfu_g_1_009214,0.239261684868585,0.249366700444691,0.386383940445243,Not-significant
Nfu_g_1_009215,-0.262795621085167,0.204385339860688,0.33462362033004,Not-significant
Nfu_g_1_009221,-0.329475107032149,0.107766853767303,0.210419132552739,Not-significant
Nfu_g_1_009224,-0.211805425949239,0.309438918859256,0.453054766758642,Not-significant
Nfu_g_1_009230,0.34124207514044,0.0950383156129764,0.192111090581582,Not-significant
Nfu_g_1_009235,0.121592003785674,0.562595973366879,0.689169641207389,Not-significant
Nfu_g_1_009236,-0.376542979465313,0.0635558154019294,0.142311632725865,Not-significant
Nfu_g_1_009237,-0.29809652541004,0.147807245164158,0.264532280830799,Not-significant
Nfu_g_1_009240,0.254950975679639,0.218718745616316,0.351303476880897,Not-significant
Nfu_g_1_009244,-0.125514326488438,0.549963870548087,0.678557961234978,Not-significant
Nfu_g_1_009249,-0.188271489732657,0.367449695440563,0.512197909502767,Not-significant
Nfu_g_1_009250,0.239261684868585,0.249366700444691,0.386383940445243,Not-significant
Nfu_g_1_009271,0.0706018086497463,0.737357202676773,0.823855833281519,Not-significant
Nfu_g_1_009273,-0.254950975679639,0.218718745616317,0.351303476880897,Not-significant
Nfu_g_1_009278,0.270640266490694,0.190703171205935,0.318588364365097,Not-significant
Nfu_g_1_009282,-0.0392232270276368,0.852329535048812,0.903737283713933,Not-significant
Nfu_g_1_009283,-0.298671446918907,0.146989776148218,0.264532280830799,Not-significant
Nfu_g_1_009285,0.376542979465313,0.0635558154019295,0.142311632725865,Not-significant
Nfu_g_1_009289,-0.109825035677383,0.601254461564429,0.721374393321795,Not-significant
Nfu_g_1_009303,0.01606438657805,0.939248519904801,0.960721999459291,Not-significant
Nfu_g_1_009307,-0.0561283256200093,0.789866704933648,0.864407105895929,Not-significant
Nfu_g_1_009313,-0.286329557301749,0.165256587092329,0.286554575204695,Not-significant
Nfu_g_1_009316,0.0588348405414552,0.779972051548535,0.853861421122196,Not-significant
Nfu_g_1_009317,-0.105902712974619,0.614384247084078,0.730322480498578,Not-significant
Nfu_g_1_009318,-0.172582198921602,0.409399963005781,0.553628018712809,Not-significant
Nfu_g_1_009319,0.0666794859469826,0.751485408877604,0.833722482826613,Not-significant
