,rho,p,adjusted_p,class
ENSGALG00000035239,-0.182107839771171,0.551539823987343,0.751763834531632,Not-significant
ENSGALG00000035242,0.17090120347756,0.576680974322401,0.768213898365602,Not-significant
ENSGALG00000035246,0.0112687233963802,0.970854498133274,0.984002491409033,Not-significant
ENSGALG00000035260,-0.238141021239223,0.433341277152903,0.659740475443708,Not-significant
ENSGALG00000035281,0.0448265451744421,0.88438702462603,0.946044386810279,Not-significant
ENSGALG00000035282,0.246545998459431,0.416782723862058,0.645352361430383,Not-significant
ENSGALG00000035287,0.05323152239465,0.862878967131555,0.934133655193858,Not-significant
ENSGALG00000035309,-0.272817318555221,0.367151060029565,0.604001429392752,Not-significant
ENSGALG00000035337,-0.400637247496576,0.174900383184668,0.398973340877649,Not-significant
ENSGALG00000035345,-0.27736424826686,0.358896242062797,0.59514477212104,Not-significant
ENSGALG00000035350,-0.154091249037145,0.615229719108945,0.792927462943555,Not-significant
ENSGALG00000035352,-0.557530155607123,0.0477404021712086,0.183962138987337,Not-significant
ENSGALG00000035360,0.022413272587221,0.942062786182012,0.970781518525053,Not-significant
ENSGALG00000035368,0.352147606136882,0.237987271826711,0.473646407298595,Not-significant
ENSGALG00000035375,-0.179306180697768,0.557781626569564,0.756050456445803,Not-significant
ENSGALG00000035384,0.451067110817823,0.121850131334166,0.324992848467382,Not-significant
ENSGALG00000035386,0.098058067569092,0.749955566469986,0.880330361495808,Not-significant
ENSGALG00000035393,-0.125041271004476,0.68399373676622,0.840531900683859,Not-significant
ENSGALG00000035406,-0.27736424826686,0.358896242062797,0.59514477212104,Not-significant
ENSGALG00000035419,0.389430611202965,0.188411243293349,0.415056330222726,Not-significant
ENSGALG00000035447,0.022413272587221,0.942062786182012,0.970781518525053,Not-significant
ENSGALG00000035453,-0.252149316606237,0.405924180295924,0.63761553399071,Not-significant
ENSGALG00000035457,0.0786795792469443,0.798341583159642,0.903171839452181,Not-significant
ENSGALG00000035461,-0.151289589963742,0.621747358636556,0.797491708345733,Not-significant
ENSGALG00000035465,-0.00840497722020789,0.978259473353461,0.987427285397016,Not-significant
ENSGALG00000035472,0.137281294596729,0.654709989633251,0.819674523773322,Not-significant
ENSGALG00000035476,0.411843883790186,0.162024415926969,0.382878088486488,Not-significant
ENSGALG00000035478,-0.27736424826686,0.358896242062797,0.59514477212104,Not-significant
ENSGALG00000035482,0.414645542863589,0.158903872583304,0.378762843176433,Not-significant
ENSGALG00000035487,-0.137281294596729,0.654709989633251,0.819674523773322,Not-significant
ENSGALG00000035490,-0.551926837460318,0.0505105183911913,0.19069022510159,Not-significant
ENSGALG00000035492,0.229736044019016,0.450219083149307,0.674040180904647,Not-significant
ENSGALG00000035498,0.282967566413666,0.348862415491367,0.58692228125393,Not-significant
ENSGALG00000035499,-0.448265451744421,0.124472657234047,0.32887364414941,Not-significant
ENSGALG00000035502,-0.509901951359279,0.0750518683999439,0.246125321266204,Not-significant
ENSGALG00000035504,-0.11766968108291,0.701831359784237,0.851216528879402,Not-significant
ENSGALG00000035505,0.0560331814680526,0.855728214001913,0.930426579475952,Not-significant
ENSGALG00000035530,-0.109264703862703,0.72234206329067,0.86388525008832,Not-significant
ENSGALG00000035537,0.308182498074289,0.305637136785436,0.544114338798379,Not-significant
ENSGALG00000035561,0.568736791900734,0.0425299673637828,0.172347554945968,Not-significant
ENSGALG00000035569,-0.0890445414728848,0.772367663650192,0.891867894982238,Not-significant
ENSGALG00000035575,-0.128876317376521,0.674772471650517,0.833301525804022,Not-significant
ENSGALG00000035576,-0.254950975679639,0.400549722125629,0.632883539087036,Not-significant
ENSGALG00000035578,-0.487488678772057,0.0910694223252222,0.275010630474133,Not-significant
ENSGALG00000035580,0.43705881545081,0.135338091718293,0.346256235588533,Not-significant
ENSGALG00000035594,-0.0392232270276368,0.898767233488208,0.951421933619335,Not-significant
ENSGALG00000035602,0.397835588423173,0.178218345614099,0.40219941349969,Not-significant
ENSGALG00000035605,0.2129260895786,0.48490500717958,0.703070662382851,Not-significant
