,rho,p,adjusted_p,class
FBgn0034530,0.376433811747004,0.0766569627221596,0.246842874451194,Not-significant
FBgn0034532,0.0693699165279033,0.753131638303402,0.869348093760864,Not-significant
FBgn0034534,-0.4259108845647,0.042727241888854,0.17663438240694,Not-significant
FBgn0034537,-0.0831418852503546,0.7060602441447,0.846412631417527,Not-significant
FBgn0034538,0.107625385201379,0.624988218747469,0.805270164077479,Not-significant
FBgn0034540,0.0652893332027325,0.767252217746815,0.878299554171106,Not-significant
FBgn0034546,0.0801393120141667,0.716241024385244,0.85041128125879,Not-significant
FBgn0034548,0.0995465808446628,0.651333377160451,0.811055672063279,Not-significant
FBgn0034553,0.281629796245165,0.19296154135885,0.409920643497427,Not-significant
FBgn0034554,0.282048645726545,0.192272152487504,0.409920643497427,Not-significant
FBgn0034560,-0.407841667895776,0.0533821723985815,0.197946435463796,Not-significant
FBgn0034563,0.373299615707525,0.0793437311901143,0.252224200205631,Not-significant
FBgn0034565,0.145538705644536,0.507588482334845,0.725183232677788,Not-significant
FBgn0034566,-0.273466647122772,0.206734212898831,0.427116349188777,Not-significant
FBgn0034568,0.164240065312776,0.453947658472329,0.684400673738673,Not-significant
FBgn0034569,0.418259790830005,0.0470144028739151,0.187717475140463,Not-significant
FBgn0034570,-0.0479468540707567,0.828016401633148,0.9130330706875,Not-significant
FBgn0034572,-0.0459065624081713,0.835235398551657,0.918038111220642,Not-significant
FBgn0034573,-0.23463354119732,0.281192358209866,0.516811264839373,Not-significant
FBgn0034578,0.0173424791319758,0.937399304420767,0.967795124726243,Not-significant
FBgn0034583,-0.194337780861258,0.374244636655866,0.611980916216745,Not-significant
FBgn0034590,0.0652893332027325,0.767252217746815,0.878299554171106,Not-significant
FBgn0034592,-0.119953431734052,0.58563640022963,0.776468952328796,Not-significant
FBgn0034595,-0.1572579280799,0.473619598251611,0.700794193263692,Not-significant
FBgn0034598,-0.117826843514306,0.592348061406143,0.781874254851,Not-significant
FBgn0034599,-0.425400811649054,0.0430031659867028,0.177258693324442,Not-significant
FBgn0034601,-0.143944118080862,0.512300156505285,0.725183232677788,Not-significant
FBgn0034612,0.187706832957856,0.391074775990952,0.628223936722852,Not-significant
FBgn0034614,0.47334766571981,0.0225270792369201,0.118279072483913,Not-significant
FBgn0034622,0.0387655415891224,0.860599722087864,0.9326058295212,Not-significant
FBgn0034624,-0.42604008519067,0.0426575712377587,0.17663438240694,Not-significant
FBgn0034626,-0.0255036457823174,0.90804194156901,0.957894090214139,Not-significant
FBgn0034628,-0.00714102081904886,0.974202854257034,0.987275305843429,Not-significant
FBgn0034629,-0.226982447462625,0.297626319224668,0.535522524031489,Not-significant
FBgn0034631,-0.273909155702089,0.205971127617113,0.42591947996428,Not-significant
FBgn0034634,0.0357051040952443,0.871512557110598,0.938774720895316,Not-significant
