,rho,p,adjusted_p,class
FBgn0035504,-0.0770210102625985,0.726863885102445,0.85603625780767,Not-significant
FBgn0035505,-0.252996166160588,0.244126652029388,0.47008221772823,Not-significant
FBgn0035508,-0.119953431734052,0.58563640022963,0.776468952328796,Not-significant
FBgn0035511,-0.195700104191925,0.370839098586828,0.610121829307974,Not-significant
FBgn0035512,0.195014238182346,0.372551393855436,0.610891801517138,Not-significant
FBgn0035513,-0.0357051040952443,0.871512557110598,0.938774720895316,Not-significant
FBgn0035515,0.118336916429953,0.590735257776844,0.780575159717367,Not-significant
FBgn0035517,0.137719687224514,0.530891908423832,0.740193714846646,Not-significant
FBgn0035518,0.00663094790340252,0.976044974701864,0.987275305843429,Not-significant
FBgn0035519,-0.161183041344246,0.462507700089538,0.691638038941664,Not-significant
FBgn0035520,-0.462126061575591,0.0264130846298687,0.13106272862793,Not-significant
FBgn0035524,0.0856922498285864,0.697450800547436,0.842880322705381,Not-significant
