FACS.selection,age,cell,cell_ontology_class,cell_ontology_id,free_annotation,method,mouse.id,obs_names,sex,subtissue,tissue
Multiple,18m,A10_B000235,nan,nan,nan,facs,18_53_M,A10_B000235_B007504_S10.mm10-plus-0-0,male,Thymus Epithelium,Thymus
Multiple,18m,A10_B000497,bulge keratinocyte,nan,nan,facs,18_53_M,A10_B000497_B009023_S10.mm10-plus-0-0,male,nan,Skin
Multiple,18m,A10_B000524,nan,nan,nan,facs,18_53_M,A10_B000524_B009242_S10.mm10-plus-0-0,male,nan,Trachea
Viable,18m,A10_B000756,pancreatic B cell,nan,pancreatic B cell,facs,18_45_M,A10_B000756_B007446_S10.mm10-plus-0-0,male,Endocrine,Pancreas
Multiple,18m,A10_B000802,bulge keratinocyte,nan,outer bulge,facs,18_47_F,A10_B000802_B009022_S10.mm10-plus-0-0,female,Skin Anagen,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A10_B000927,skeletal muscle satellite cell,nan,nan,facs,18_46_F,A10_B000927_B007456_S10.mm10-plus-0-0,female,Muscle Diaphragm,Limb_Muscle
Neurons,18m,A10_B001059,nan,nan,nan,facs,18_46_F,A10_B001059_B009342_S10.mm10-plus-0-0,female,Striatum ,Brain_Non-Myeloid
Viable,18m,A10_B001361,B cell,nan,B cell,facs,18_46_F,A10_B001361_B007505_S10.mm10-plus-0-0,female,RV,Heart
Viable,18m,A10_B002452,B cell,nan,CD79a B cell,facs,18_47_F,A10_B002452_B009020_S10.mm10-plus-0-0,female,nan,Spleen
Viable,18m,A10_B002831,nan,nan,nan,facs,18_47_F,A10_B002831_B007445_S10.mm10-plus-0-0,female,Endocrine,Pancreas
Viable,18m,A10_B002832,nan,nan,nan,facs,18_47_F,A10_B002832_B007443_S10.mm10-plus-0-0,female,Exocrine,Pancreas
Multiple,18m,A10_B002850,bulge keratinocyte,nan,outer bulge,facs,18_47_F,A10_B002850_B007342_S10.mm10-plus-0-0,female,nan,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A10_B003262,skeletal muscle satellite cell,nan,nan,facs,18_45_M,A10_B003262_B007459_S10.mm10-plus-0-0,male,Limb_Muscle,Diaphragm
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A10_B003263,nan,nan,nan,facs,18_45_M,A10_B003263_B007458_S10.mm10-plus-0-0,male,forelimb and hindlimb,Limb_Muscle
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A10_B003294,skeletal muscle satellite cell,nan,nan,facs,18_47_F,A10_B003294_B007450_S10.mm10-plus-0-0,female,Muscle forelimb and hindlimb,Limb_Muscle
Viable,18m,A10_D045342,nan,nan,nan,facs,18_45_M,A10_D045342_B009019_S10.mm10-plus-0-0,male,nan,Spleen
Multiple,18m,A10_D045382,nan,nan,nan,facs,18_45_M,A10_D045382_B009006_S10.mm10-plus-0-0,male,nan,Tongue
Multiple,18m,A11_B000235,nan,nan,nan,facs,18_53_M,A11_B000235_B007504_S11.mm10-plus-0-0,male,Thymus Epithelium,Thymus
Multiple,18m,A11_B000497,bulge keratinocyte,nan,nan,facs,18_53_M,A11_B000497_B009023_S11.mm10-plus-0-0,male,nan,Skin
Multiple,18m,A11_B000524,nan,nan,nan,facs,18_53_M,A11_B000524_B009242_S11.mm10-plus-0-0,male,nan,Trachea
Viable,18m,A11_B000756,pancreatic B cell,nan,pancreatic B cell,facs,18_45_M,A11_B000756_B007446_S11.mm10-plus-0-0,male,Endocrine,Pancreas
Multiple,18m,A11_B000802,bulge keratinocyte,nan,outer bulge,facs,18_47_F,A11_B000802_B009022_S11.mm10-plus-0-0,female,Skin Anagen,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A11_B000927,skeletal muscle satellite cell,nan,nan,facs,18_46_F,A11_B000927_B007456_S11.mm10-plus-0-0,female,Muscle Diaphragm,Limb_Muscle
Viable,18m,A11_B001361,B cell,nan,B cell,facs,18_46_F,A11_B001361_B007505_S11.mm10-plus-0-0,female,RV,Heart
Viable,18m,A11_B002452,B cell,nan,CD79a B cell,facs,18_47_F,A11_B002452_B009020_S11.mm10-plus-0-0,female,nan,Spleen
Viable,18m,A11_B002831,nan,nan,nan,facs,18_47_F,A11_B002831_B007445_S11.mm10-plus-0-0,female,Endocrine,Pancreas
Viable,18m,A11_B002832,nan,nan,nan,facs,18_47_F,A11_B002832_B007443_S11.mm10-plus-0-0,female,Exocrine,Pancreas
Multiple,18m,A11_B002850,bulge keratinocyte,nan,outer bulge,facs,18_47_F,A11_B002850_B007342_S11.mm10-plus-0-0,female,nan,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A11_B003262,nan,nan,nan,facs,18_45_M,A11_B003262_B007459_S11.mm10-plus-0-0,male,Limb_Muscle,Diaphragm
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A11_B003263,skeletal muscle satellite cell,nan,nan,facs,18_45_M,A11_B003263_B007458_S11.mm10-plus-0-0,male,forelimb and hindlimb,Limb_Muscle
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A11_B003294,skeletal muscle satellite cell,nan,nan,facs,18_47_F,A11_B003294_B007450_S11.mm10-plus-0-0,female,Muscle forelimb and hindlimb,Limb_Muscle
Viable,18m,A11_D045342,B cell,nan,CD79a B cell,facs,18_45_M,A11_D045342_B009019_S11.mm10-plus-0-0,male,nan,Spleen
Multiple,18m,A11_D045382,nan,nan,nan,facs,18_45_M,A11_D045382_B009006_S11.mm10-plus-0-0,male,nan,Tongue
Multiple,18m,A12_B000235,nan,nan,nan,facs,18_53_M,A12_B000235_B007504_S12.mm10-plus-0-0,male,Thymus Epithelium,Thymus
Multiple,18m,A12_B000497,bulge keratinocyte,nan,nan,facs,18_53_M,A12_B000497_B009023_S12.mm10-plus-0-0,male,nan,Skin
Multiple,18m,A12_B000524,nan,nan,nan,facs,18_53_M,A12_B000524_B009242_S12.mm10-plus-0-0,male,nan,Trachea
Viable,18m,A12_B000756,pancreatic B cell,nan,nan,facs,18_45_M,A12_B000756_B007446_S12.mm10-plus-0-0,male,Endocrine,Pancreas
Multiple,18m,A12_B000802,epidermal cell,nan,nan,facs,18_47_F,A12_B000802_B009022_S12.mm10-plus-0-0,female,Skin Anagen,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A12_B000927,skeletal muscle satellite cell,nan,nan,facs,18_46_F,A12_B000927_B007456_S12.mm10-plus-0-0,female,Muscle Diaphragm,Limb_Muscle
Viable,18m,A12_B001361,B cell,nan,B cell,facs,18_46_F,A12_B001361_B007505_S12.mm10-plus-0-0,female,RV,Heart
Viable,18m,A12_B002452,B cell,nan,CD79a B cell,facs,18_47_F,A12_B002452_B009020_S12.mm10-plus-0-0,female,nan,Spleen
Viable,18m,A12_B002831,nan,nan,nan,facs,18_47_F,A12_B002831_B007445_S12.mm10-plus-0-0,female,Endocrine,Pancreas
Viable,18m,A12_B002832,nan,nan,nan,facs,18_47_F,A12_B002832_B007443_S12.mm10-plus-0-0,female,Exocrine,Pancreas
Multiple,18m,A12_B002850,bulge keratinocyte,nan,nan,facs,18_47_F,A12_B002850_B007342_S12.mm10-plus-0-0,female,nan,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A12_B003262,skeletal muscle satellite cell,nan,nan,facs,18_45_M,A12_B003262_B007459_S12.mm10-plus-0-0,male,Limb_Muscle,Diaphragm
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A12_B003263,nan,nan,nan,facs,18_45_M,A12_B003263_B007458_S12.mm10-plus-0-0,male,forelimb and hindlimb,Limb_Muscle
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A12_B003294,skeletal muscle satellite cell,nan,nan,facs,18_47_F,A12_B003294_B007450_S12.mm10-plus-0-0,female,Muscle forelimb and hindlimb,Limb_Muscle
Viable,18m,A12_D045342,"CD4-positive, alpha-beta T cell",nan,Cd3e T cell,facs,18_45_M,A12_D045342_B009019_S12.mm10-plus-0-0,male,nan,Spleen
Multiple,18m,A12_D045382,nan,nan,nan,facs,18_45_M,A12_D045382_B009006_S12.mm10-plus-0-0,male,nan,Tongue
Multiple,18m,A13_B000235,nan,nan,nan,facs,18_53_M,A13_B000235_B007504_S13.mm10-plus-0-0,male,Thymus Epithelium,Thymus
Multiple,18m,A13_B000497,bulge keratinocyte,nan,nan,facs,18_53_M,A13_B000497_B009023_S13.mm10-plus-0-0,male,nan,Skin
Multiple,18m,A13_B000524,smooth muscle cell of trachea,nan,nan,facs,18_53_M,A13_B000524_B009242_S13.mm10-plus-0-0,male,nan,Trachea
Viable,18m,A13_B000756,pancreatic B cell,nan,nan,facs,18_45_M,A13_B000756_B007446_S13.mm10-plus-0-0,male,Endocrine,Pancreas
Multiple,18m,A13_B000802,nan,nan,nan,facs,18_47_F,A13_B000802_B009022_S13.mm10-plus-0-0,female,Skin Anagen,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A13_B000927,T cell,nan,nan,facs,18_46_F,A13_B000927_B007456_S13.mm10-plus-0-0,female,Muscle Diaphragm,Limb_Muscle
Neurons,18m,A13_B001059,nan,nan,nan,facs,18_46_F,A13_B001059_B009342_S13.mm10-plus-0-0,female,Striatum ,Brain_Non-Myeloid
Viable,18m,A13_B001361,fibroblast of cardiac tissue,nan,fibroblast of cardiac tissue,facs,18_46_F,A13_B001361_B007505_S13.mm10-plus-0-0,female,RV,Heart
Viable,18m,A13_B002452,"CD8-positive, alpha-beta T cell",nan,Cd3e T cell,facs,18_47_F,A13_B002452_B009020_S13.mm10-plus-0-0,female,nan,Spleen
Viable,18m,A13_B002831,nan,nan,nan,facs,18_47_F,A13_B002831_B007445_S13.mm10-plus-0-0,female,Endocrine,Pancreas
Viable,18m,A13_B002832,pancreatic acinar cell,nan,pancreatic acinar cell,facs,18_47_F,A13_B002832_B007443_S13.mm10-plus-0-0,female,Exocrine,Pancreas
Multiple,18m,A13_B002850,basal cell of epidermis,nan,nan,facs,18_47_F,A13_B002850_B007342_S13.mm10-plus-0-0,female,nan,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A13_B003262,nan,nan,nan,facs,18_45_M,A13_B003262_B007459_S13.mm10-plus-0-0,male,Limb_Muscle,Diaphragm
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A13_B003263,nan,nan,nan,facs,18_45_M,A13_B003263_B007458_S13.mm10-plus-0-0,male,forelimb and hindlimb,Limb_Muscle
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A13_B003294,skeletal muscle satellite cell,nan,nan,facs,18_47_F,A13_B003294_B007450_S13.mm10-plus-0-0,female,Muscle forelimb and hindlimb,Limb_Muscle
Viable,18m,A13_D045342,B cell,nan,CD79a B cell,facs,18_45_M,A13_D045342_B009019_S13.mm10-plus-0-0,male,nan,Spleen
Multiple,18m,A13_D045382,nan,nan,nan,facs,18_45_M,A13_D045382_B009006_S13.mm10-plus-0-0,male,nan,Tongue
Multiple,18m,A14_B000235,nan,nan,nan,facs,18_53_M,A14_B000235_B007504_S14.mm10-plus-0-0,male,Thymus Epithelium,Thymus
Multiple,18m,A14_B000497,bulge keratinocyte,nan,nan,facs,18_53_M,A14_B000497_B009023_S14.mm10-plus-0-0,male,nan,Skin
Multiple,18m,A14_B000524,fibroblast,nan,nan,facs,18_53_M,A14_B000524_B009242_S14.mm10-plus-0-0,male,nan,Trachea
Viable,18m,A14_B000756,pancreatic B cell,nan,nan,facs,18_45_M,A14_B000756_B007446_S14.mm10-plus-0-0,male,Endocrine,Pancreas
Multiple,18m,A14_B000802,keratinocyte stem cell,nan,actively dividing stem cell,facs,18_47_F,A14_B000802_B009022_S14.mm10-plus-0-0,female,Skin Anagen,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A14_B000927,T cell,nan,nan,facs,18_46_F,A14_B000927_B007456_S14.mm10-plus-0-0,female,Muscle Diaphragm,Limb_Muscle
Neurons,18m,A14_B001059,nan,nan,nan,facs,18_46_F,A14_B001059_B009342_S14.mm10-plus-0-0,female,Striatum ,Brain_Non-Myeloid
Viable,18m,A14_B001361,B cell,nan,B cell,facs,18_46_F,A14_B001361_B007505_S14.mm10-plus-0-0,female,RV,Heart
Viable,18m,A14_B002452,"CD8-positive, alpha-beta T cell",nan,nan,facs,18_47_F,A14_B002452_B009020_S14.mm10-plus-0-0,female,nan,Spleen
Viable,18m,A14_B002831,nan,nan,nan,facs,18_47_F,A14_B002831_B007445_S14.mm10-plus-0-0,female,Endocrine,Pancreas
Viable,18m,A14_B002832,pancreatic acinar cell,nan,pancreatic acinar cell,facs,18_47_F,A14_B002832_B007443_S14.mm10-plus-0-0,female,Exocrine,Pancreas
Multiple,18m,A14_B002850,bulge keratinocyte,nan,nan,facs,18_47_F,A14_B002850_B007342_S14.mm10-plus-0-0,female,nan,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A14_B003262,skeletal muscle satellite cell,nan,nan,facs,18_45_M,A14_B003262_B007459_S14.mm10-plus-0-0,male,Limb_Muscle,Diaphragm
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A14_B003263,nan,nan,nan,facs,18_45_M,A14_B003263_B007458_S14.mm10-plus-0-0,male,forelimb and hindlimb,Limb_Muscle
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A14_B003294,skeletal muscle satellite cell,nan,nan,facs,18_47_F,A14_B003294_B007450_S14.mm10-plus-0-0,female,Muscle forelimb and hindlimb,Limb_Muscle
Viable,18m,A14_D045342,nan,nan,nan,facs,18_45_M,A14_D045342_B009019_S14.mm10-plus-0-0,male,nan,Spleen
Multiple,18m,A14_D045382,nan,nan,nan,facs,18_45_M,A14_D045382_B009006_S14.mm10-plus-0-0,male,nan,Tongue
Multiple,18m,A15_B000497,bulge keratinocyte,nan,nan,facs,18_53_M,A15_B000497_B009023_S15.mm10-plus-0-0,male,nan,Skin
Multiple,18m,A15_B000524,nan,nan,nan,facs,18_53_M,A15_B000524_B009242_S15.mm10-plus-0-0,male,nan,Trachea
Viable,18m,A15_B000756,pancreatic A cell,nan,nan,facs,18_45_M,A15_B000756_B007446_S15.mm10-plus-0-0,male,Endocrine,Pancreas
Multiple,18m,A15_B000802,bulge keratinocyte,nan,outer bulge,facs,18_47_F,A15_B000802_B009022_S15.mm10-plus-0-0,female,Skin Anagen,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A15_B000927,mesenchymal stem cell,nan,nan,facs,18_46_F,A15_B000927_B007456_S15.mm10-plus-0-0,female,Muscle Diaphragm,Limb_Muscle
Neurons,18m,A15_B001059,nan,nan,nan,facs,18_46_F,A15_B001059_B009342_S15.mm10-plus-0-0,female,Striatum ,Brain_Non-Myeloid
Viable,18m,A15_B001361,B cell,nan,B cell,facs,18_46_F,A15_B001361_B007505_S15.mm10-plus-0-0,female,RV,Heart
Viable,18m,A15_B002452,"CD4-positive, alpha-beta T cell",nan,Cd3e T cell,facs,18_47_F,A15_B002452_B009020_S15.mm10-plus-0-0,female,nan,Spleen
Viable,18m,A15_B002831,nan,nan,nan,facs,18_47_F,A15_B002831_B007445_S15.mm10-plus-0-0,female,Endocrine,Pancreas
Viable,18m,A15_B002832,nan,nan,nan,facs,18_47_F,A15_B002832_B007443_S15.mm10-plus-0-0,female,Exocrine,Pancreas
Multiple,18m,A15_B002850,nan,nan,nan,facs,18_47_F,A15_B002850_B007342_S15.mm10-plus-0-0,female,nan,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A15_B003262,nan,nan,nan,facs,18_45_M,A15_B003262_B007459_S15.mm10-plus-0-0,male,Limb_Muscle,Diaphragm
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A15_B003263,skeletal muscle satellite cell,nan,nan,facs,18_45_M,A15_B003263_B007458_S15.mm10-plus-0-0,male,forelimb and hindlimb,Limb_Muscle
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A15_B003294,skeletal muscle satellite cell,nan,nan,facs,18_47_F,A15_B003294_B007450_S15.mm10-plus-0-0,female,Muscle forelimb and hindlimb,Limb_Muscle
Viable,18m,A15_D045342,B cell,nan,CD79a B cell,facs,18_45_M,A15_D045342_B009019_S15.mm10-plus-0-0,male,nan,Spleen
Multiple,18m,A15_D045382,nan,nan,nan,facs,18_45_M,A15_D045382_B009006_S15.mm10-plus-0-0,male,nan,Tongue
Multiple,18m,A16_B000235,nan,nan,nan,facs,18_53_M,A16_B000235_B007504_S16.mm10-plus-0-0,male,Thymus Epithelium,Thymus
Multiple,18m,A16_B000497,bulge keratinocyte,nan,nan,facs,18_53_M,A16_B000497_B009023_S16.mm10-plus-0-0,male,nan,Skin
Multiple,18m,A16_B000524,fibroblast,nan,nan,facs,18_53_M,A16_B000524_B009242_S16.mm10-plus-0-0,male,nan,Trachea
Viable,18m,A16_B000756,pancreatic D cell,nan,nan,facs,18_45_M,A16_B000756_B007446_S16.mm10-plus-0-0,male,Endocrine,Pancreas
Multiple,18m,A16_B000802,nan,nan,nan,facs,18_47_F,A16_B000802_B009022_S16.mm10-plus-0-0,female,Skin Anagen,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A16_B000927,skeletal muscle satellite cell,nan,nan,facs,18_46_F,A16_B000927_B007456_S16.mm10-plus-0-0,female,Muscle Diaphragm,Limb_Muscle
Neurons,18m,A16_B001059,nan,nan,nan,facs,18_46_F,A16_B001059_B009342_S16.mm10-plus-0-0,female,Striatum ,Brain_Non-Myeloid
Viable,18m,A16_B001361,B cell,nan,B cell,facs,18_46_F,A16_B001361_B007505_S16.mm10-plus-0-0,female,RV,Heart
Viable,18m,A16_B002452,B cell,nan,CD79a B cell,facs,18_47_F,A16_B002452_B009020_S16.mm10-plus-0-0,female,nan,Spleen
Viable,18m,A16_B002831,nan,nan,nan,facs,18_47_F,A16_B002831_B007445_S16.mm10-plus-0-0,female,Endocrine,Pancreas
Viable,18m,A16_B002832,nan,nan,nan,facs,18_47_F,A16_B002832_B007443_S16.mm10-plus-0-0,female,Exocrine,Pancreas
Multiple,18m,A16_B002850,bulge keratinocyte,nan,nan,facs,18_47_F,A16_B002850_B007342_S16.mm10-plus-0-0,female,nan,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A16_B003262,skeletal muscle satellite cell,nan,nan,facs,18_45_M,A16_B003262_B007459_S16.mm10-plus-0-0,male,Limb_Muscle,Diaphragm
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A16_B003263,nan,nan,nan,facs,18_45_M,A16_B003263_B007458_S16.mm10-plus-0-0,male,forelimb and hindlimb,Limb_Muscle
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A16_B003294,skeletal muscle satellite cell,nan,nan,facs,18_47_F,A16_B003294_B007450_S16.mm10-plus-0-0,female,Muscle forelimb and hindlimb,Limb_Muscle
Viable,18m,A16_D045342,"CD4-positive, alpha-beta T cell",nan,Cd3e T cell,facs,18_45_M,A16_D045342_B009019_S16.mm10-plus-0-0,male,nan,Spleen
Multiple,18m,A16_D045382,nan,nan,nan,facs,18_45_M,A16_D045382_B009006_S16.mm10-plus-0-0,male,nan,Tongue
Multiple,18m,A17_B000235,nan,nan,nan,facs,18_53_M,A17_B000235_B007504_S17.mm10-plus-0-0,male,Thymus Epithelium,Thymus
Multiple,18m,A17_B000497,bulge keratinocyte,nan,nan,facs,18_53_M,A17_B000497_B009023_S17.mm10-plus-0-0,male,nan,Skin
Multiple,18m,A17_B000524,fibroblast,nan,nan,facs,18_53_M,A17_B000524_B009242_S17.mm10-plus-0-0,male,nan,Trachea
Viable,18m,A17_B000756,pancreatic B cell,nan,nan,facs,18_45_M,A17_B000756_B007446_S17.mm10-plus-0-0,male,Endocrine,Pancreas
Multiple,18m,A17_B000802,bulge keratinocyte,nan,outer bulge,facs,18_47_F,A17_B000802_B009022_S17.mm10-plus-0-0,female,Skin Anagen,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A17_B000927,T cell,nan,nan,facs,18_46_F,A17_B000927_B007456_S17.mm10-plus-0-0,female,Muscle Diaphragm,Limb_Muscle
Neurons,18m,A17_B001059,nan,nan,nan,facs,18_46_F,A17_B001059_B009342_S17.mm10-plus-0-0,female,Striatum ,Brain_Non-Myeloid
Viable,18m,A17_B001361,endothelial cell of coronary artery,nan,coronary vascular endothelial cell,facs,18_46_F,A17_B001361_B007505_S17.mm10-plus-0-0,female,RV,Heart
Viable,18m,A17_B002452,B cell,nan,CD79a B cell,facs,18_47_F,A17_B002452_B009020_S17.mm10-plus-0-0,female,nan,Spleen
Viable,18m,A17_B002831,nan,nan,nan,facs,18_47_F,A17_B002831_B007445_S17.mm10-plus-0-0,female,Endocrine,Pancreas
Viable,18m,A17_B002832,nan,nan,nan,facs,18_47_F,A17_B002832_B007443_S17.mm10-plus-0-0,female,Exocrine,Pancreas
Multiple,18m,A17_B002850,bulge keratinocyte,nan,nan,facs,18_47_F,A17_B002850_B007342_S17.mm10-plus-0-0,female,nan,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A17_B003262,nan,nan,nan,facs,18_45_M,A17_B003262_B007459_S17.mm10-plus-0-0,male,Limb_Muscle,Diaphragm
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A17_B003263,nan,nan,nan,facs,18_45_M,A17_B003263_B007458_S17.mm10-plus-0-0,male,forelimb and hindlimb,Limb_Muscle
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A17_B003294,skeletal muscle satellite cell,nan,nan,facs,18_47_F,A17_B003294_B007450_S17.mm10-plus-0-0,female,Muscle forelimb and hindlimb,Limb_Muscle
Viable,18m,A17_D045342,nan,nan,nan,facs,18_45_M,A17_D045342_B009019_S17.mm10-plus-0-0,male,nan,Spleen
Multiple,18m,A17_D045382,keratinocyte,nan,suprabasal,facs,18_45_M,A17_D045382_B009006_S17.mm10-plus-0-0,male,nan,Tongue
Multiple,18m,A18_B000497,nan,nan,nan,facs,18_53_M,A18_B000497_B009023_S18.mm10-plus-0-0,male,nan,Skin
Multiple,18m,A18_B000524,fibroblast,nan,nan,facs,18_53_M,A18_B000524_B009242_S18.mm10-plus-0-0,male,nan,Trachea
Viable,18m,A18_B000756,pancreatic B cell,nan,nan,facs,18_45_M,A18_B000756_B007446_S18.mm10-plus-0-0,male,Endocrine,Pancreas
Multiple,18m,A18_B000802,nan,nan,nan,facs,18_47_F,A18_B000802_B009022_S18.mm10-plus-0-0,female,Skin Anagen,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A18_B000927,T cell,nan,nan,facs,18_46_F,A18_B000927_B007456_S18.mm10-plus-0-0,female,Muscle Diaphragm,Limb_Muscle
Neurons,18m,A18_B001059,nan,nan,nan,facs,18_46_F,A18_B001059_B009342_S18.mm10-plus-0-0,female,Striatum ,Brain_Non-Myeloid
Viable,18m,A18_B001361,B cell,nan,B cell,facs,18_46_F,A18_B001361_B007505_S18.mm10-plus-0-0,female,RV,Heart
Viable,18m,A18_B002452,B cell,nan,CD79a B cell,facs,18_47_F,A18_B002452_B009020_S18.mm10-plus-0-0,female,nan,Spleen
Viable,18m,A18_B002831,nan,nan,nan,facs,18_47_F,A18_B002831_B007445_S18.mm10-plus-0-0,female,Endocrine,Pancreas
Viable,18m,A18_B002832,pancreatic acinar cell,nan,pancreatic acinar cell,facs,18_47_F,A18_B002832_B007443_S18.mm10-plus-0-0,female,Exocrine,Pancreas
Multiple,18m,A18_B002850,bulge keratinocyte,nan,inner bulge,facs,18_47_F,A18_B002850_B007342_S18.mm10-plus-0-0,female,nan,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A18_B003262,nan,nan,nan,facs,18_45_M,A18_B003262_B007459_S18.mm10-plus-0-0,male,Limb_Muscle,Diaphragm
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A18_B003263,nan,nan,nan,facs,18_45_M,A18_B003263_B007458_S18.mm10-plus-0-0,male,forelimb and hindlimb,Limb_Muscle
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A18_B003294,skeletal muscle satellite cell,nan,nan,facs,18_47_F,A18_B003294_B007450_S18.mm10-plus-0-0,female,Muscle forelimb and hindlimb,Limb_Muscle
Viable,18m,A18_D045342,B cell,nan,CD79a B cell,facs,18_45_M,A18_D045342_B009019_S18.mm10-plus-0-0,male,nan,Spleen
Multiple,18m,A18_D045382,nan,nan,nan,facs,18_45_M,A18_D045382_B009006_S18.mm10-plus-0-0,male,nan,Tongue
Multiple,18m,A19_B000235,nan,nan,nan,facs,18_53_M,A19_B000235_B007504_S19.mm10-plus-0-0,male,Thymus Epithelium,Thymus
Multiple,18m,A19_B000497,nan,nan,nan,facs,18_53_M,A19_B000497_B009023_S19.mm10-plus-0-0,male,nan,Skin
Multiple,18m,A19_B000524,fibroblast,nan,nan,facs,18_53_M,A19_B000524_B009242_S19.mm10-plus-0-0,male,nan,Trachea
Viable,18m,A19_B000756,pancreatic B cell,nan,nan,facs,18_45_M,A19_B000756_B007446_S19.mm10-plus-0-0,male,Endocrine,Pancreas
Multiple,18m,A19_B000802,nan,nan,nan,facs,18_47_F,A19_B000802_B009022_S19.mm10-plus-0-0,female,Skin Anagen,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,A19_B000927,T cell,nan,nan,facs,18_46_F,A19_B000927_B007456_S19.mm10-plus-0-0,female,Muscle Diaphragm,Limb_Muscle
Neurons,18m,A19_B001059,nan,nan,nan,facs,18_46_F,A19_B001059_B009342_S19.mm10-plus-0-0,female,Striatum ,Brain_Non-Myeloid
Viable,18m,A19_B001361,B cell,nan,B cell,facs,18_46_F,A19_B001361_B007505_S19.mm10-plus-0-0,female,RV,Heart
Viable,18m,A19_B002452,"CD8-positive, alpha-beta T cell",nan,Cd3e T cell,facs,18_47_F,A19_B002452_B009020_S19.mm10-plus-0-0,female,nan,Spleen
Viable,18m,A19_B002831,nan,nan,nan,facs,18_47_F,A19_B002831_B007445_S19.mm10-plus-0-0,female,Endocrine,Pancreas
Viable,18m,A19_B002832,pancreatic acinar cell,nan,pancreatic acinar cell,facs,18_47_F,A19_B002832_B007443_S19.mm10-plus-0-0,female,Exocrine,Pancreas
Multiple,18m,A19_B002850,bulge keratinocyte,nan,inner bulge,facs,18_47_F,A19_B002850_B007342_S19.mm10-plus-0-0,female,nan,Skin
