FACS.selection,age,cell,cell_ontology_class,cell_ontology_id,free_annotation,method,mouse.id,obs_names,sex,subtissue,tissue
Viable,18m,O4_B001361,nan,nan,nan,facs,18_46_F,O4_B001361_B007505_S340.mm10-plus-0-0,female,RV,Heart
Viable,18m,O4_B002452,"CD8-positive, alpha-beta T cell",nan,Cd3e T cell,facs,18_47_F,O4_B002452_B009020_S340.mm10-plus-0-0,female,nan,Spleen
Viable,18m,O4_B002831,pancreatic B cell,nan,nan,facs,18_47_F,O4_B002831_B007445_S340.mm10-plus-0-0,female,Endocrine,Pancreas
Viable,18m,O4_B002832,pancreatic acinar cell,nan,pancreatic acinar cell,facs,18_47_F,O4_B002832_B007443_S340.mm10-plus-0-0,female,Exocrine,Pancreas
Multiple,18m,O4_B002850,basal cell of epidermis,nan,Basal IFE,facs,18_47_F,O4_B002850_B007342_S340.mm10-plus-0-0,female,nan,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,O4_B003262,T cell,nan,nan,facs,18_45_M,O4_B003262_B007459_S340.mm10-plus-0-0,male,Limb_Muscle,Diaphragm
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,O4_B003263,nan,nan,nan,facs,18_45_M,O4_B003263_B007458_S340.mm10-plus-0-0,male,forelimb and hindlimb,Limb_Muscle
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,O4_B003294,T cell,nan,nan,facs,18_47_F,O4_B003294_B007450_S340.mm10-plus-0-0,female,Muscle forelimb and hindlimb,Limb_Muscle
Viable,18m,O4_D045342,B cell,nan,CD79a B cell,facs,18_45_M,O4_D045342_B009019_S340.mm10-plus-0-0,male,nan,Spleen
Multiple,18m,O4_D045382,nan,nan,nan,facs,18_45_M,O4_D045382_B009006_S340.mm10-plus-0-0,male,nan,Tongue
Multiple,18m,O5_B000235,nan,nan,nan,facs,18_53_M,O5_B000235_B007504_S341.mm10-plus-0-0,male,Thymus Epithelium,Thymus
Multiple,18m,O5_B000497,nan,nan,nan,facs,18_53_M,O5_B000497_B009023_S341.mm10-plus-0-0,male,nan,Skin
Multiple,18m,O5_B000524,nan,nan,nan,facs,18_53_M,O5_B000524_B009242_S341.mm10-plus-0-0,male,nan,Trachea
Viable,18m,O5_B000756,pancreatic B cell,nan,nan,facs,18_45_M,O5_B000756_B007446_S341.mm10-plus-0-0,male,Endocrine,Pancreas
Multiple,18m,O5_B000802,basal cell of epidermis,nan,Basal IFE,facs,18_47_F,O5_B000802_B009022_S341.mm10-plus-0-0,female,Skin Anagen,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,O5_B000927,nan,nan,nan,facs,18_46_F,O5_B000927_B007456_S341.mm10-plus-0-0,female,Muscle Diaphragm,Limb_Muscle
Neurons,18m,O5_B001059,nan,nan,nan,facs,18_46_F,O5_B001059_B009342_S341.mm10-plus-0-0,female,Striatum ,Brain_Non-Myeloid
Viable,18m,O5_B001361,nan,nan,nan,facs,18_46_F,O5_B001361_B007505_S341.mm10-plus-0-0,female,RV,Heart
Viable,18m,O5_B002452,B cell,nan,nan,facs,18_47_F,O5_B002452_B009020_S341.mm10-plus-0-0,female,nan,Spleen
Viable,18m,O5_B002831,pancreatic A cell,nan,nan,facs,18_47_F,O5_B002831_B007445_S341.mm10-plus-0-0,female,Endocrine,Pancreas
Viable,18m,O5_B002832,pancreatic acinar cell,nan,pancreatic acinar cell,facs,18_47_F,O5_B002832_B007443_S341.mm10-plus-0-0,female,Exocrine,Pancreas
Multiple,18m,O5_B002850,epidermal cell,nan,nan,facs,18_47_F,O5_B002850_B007342_S341.mm10-plus-0-0,female,nan,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,O5_B003262,endothelial cell,nan,new-cluster,facs,18_45_M,O5_B003262_B007459_S341.mm10-plus-0-0,male,Limb_Muscle,Diaphragm
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,O5_B003263,nan,nan,nan,facs,18_45_M,O5_B003263_B007458_S341.mm10-plus-0-0,male,forelimb and hindlimb,Limb_Muscle
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,O5_B003294,macrophage,nan,nan,facs,18_47_F,O5_B003294_B007450_S341.mm10-plus-0-0,female,Muscle forelimb and hindlimb,Limb_Muscle
Viable,18m,O5_D045342,"CD4-positive, alpha-beta T cell",nan,Cd3e T cell,facs,18_45_M,O5_D045342_B009019_S341.mm10-plus-0-0,male,nan,Spleen
Multiple,18m,O5_D045382,nan,nan,nan,facs,18_45_M,O5_D045382_B009006_S341.mm10-plus-0-0,male,nan,Tongue
